,date,daily_index,count
0,2018-07-19,-0.36,25
1,2018-07-20,4.0,24
2,2018-07-21,8.99,25
3,2018-07-22,9.55,25
4,2018-07-23,8.95,25
5,2018-07-24,9.6,25
6,2018-07-25,9.13,25
7,2018-07-26,8.79,25
8,2018-07-27,7.7,25
9,2018-07-28,8.4,25
10,2018-07-29,9.55,25
11,2018-07-30,9.71,25
12,2018-07-31,9.53,25
13,2018-08-01,4.83,25
14,2018-08-02,-0.68,25
15,2018-08-03,3.91,25
16,2018-08-04,5.09,25
17,2018-08-05,3.94,25
18,2018-08-06,3.18,25
19,2018-08-07,-0.67,25
20,2018-08-08,-3.61,25
21,2018-08-09,-5.51,25
22,2018-08-10,-3.55,25
23,2018-08-11,0.26,25
24,2018-08-12,3.45,25
25,2018-08-13,1.22,25
26,2018-08-14,-5.07,25
27,2018-08-15,-5.14,25
28,2018-08-16,-3.55,25
29,2018-08-17,-3.6,25
30,2018-08-18,-1.18,25
31,2018-08-19,4.16,25
32,2018-08-20,5.79,25
33,2018-08-21,5.41,25
34,2018-08-22,0.61,25
35,2018-08-23,-1.91,25
36,2018-08-24,-0.68,25
37,2018-08-25,-1.06,24
38,2018-08-26,-0.21,25
39,2018-08-27,3.58,25
40,2018-08-28,2.59,25
41,2018-08-29,-1.19,25
42,2018-08-30,-0.95,25
43,2018-08-31,-2.92,25
44,2018-09-01,-3.08,24
45,2018-09-02,-0.94,24
46,2018-09-03,1.65,24
47,2018-09-04,3.38,24
48,2018-09-05,5.99,24
49,2018-09-06,3.74,24
50,2018-09-07,4.45,24
51,2018-09-08,5.04,24
52,2018-09-09,5.01,24
53,2018-09-10,5.88,24
54,2018-09-11,7.71,24
55,2018-09-12,9.02,24
56,2018-09-13,8.84,24
57,2018-09-14,8.6,24
58,2018-09-15,7.79,24
59,2018-09-16,7.45,24
60,2018-09-17,6.61,24
61,2018-09-18,5.42,24
62,2018-09-19,6.59,24
63,2018-09-20,7.28,24
64,2018-09-21,6.09,24
65,2018-09-22,6.54,24
66,2018-09-23,7.08,24
67,2018-09-24,7.92,24
68,2018-09-25,6.14,25
69,2018-09-26,4.81,25
70,2018-09-27,8.09,25
71,2018-09-28,9.03,24
72,2018-09-29,9.3,24
73,2018-09-30,9.14,24
74,2018-10-01,8.98,25
75,2018-10-02,8.9,25
76,2018-10-03,8.93,25
77,2018-10-04,8.93,25
78,2018-10-05,9.0,25
79,2018-10-06,8.56,25
80,2018-10-07,7.33,25
81,2018-10-08,6.8,25
82,2018-10-09,7.86,24
83,2018-10-10,8.39,25
84,2018-10-11,9.0,24
85,2018-10-12,9.23,25
86,2018-10-13,9.33,25
87,2018-10-14,9.08,24
88,2018-10-15,9.37,25
89,2018-10-16,9.86,25
90,2018-10-17,9.75,25
91,2018-10-18,9.62,25
92,2018-10-19,9.55,25
93,2018-10-20,9.24,25
94,2018-10-21,9.52,25
95,2018-10-22,9.3,24
96,2018-10-23,9.52,25
97,2018-10-24,9.76,25
98,2018-10-25,9.66,25
99,2018-10-26,9.52,25
100,2018-10-27,8.72,25
101,2018-10-28,6.26,25
102,2018-10-29,2.36,25
103,2018-10-30,-0.6,25
104,2018-10-31,0.15,25
105,2018-11-01,3.48,25
106,2018-11-02,3.27,25
107,2018-11-03,3.83,25
108,2018-11-04,1.09,25
109,2018-11-05,1.51,25
110,2018-11-06,4.22,25
111,2018-11-07,7.57,25
112,2018-11-08,7.99,25
113,2018-11-09,7.38,25
114,2018-11-10,7.95,25
115,2018-11-11,8.79,25
116,2018-11-12,8.79,25
117,2018-11-13,7.65,25
118,2018-11-14,4.28,25
119,2018-11-15,2.71,25
120,2018-11-16,7.6,25
121,2018-11-17,8.99,25
122,2018-11-18,9.4,25
123,2018-11-19,9.35,24
124,2018-11-20,8.88,24
125,2018-11-21,7.67,25
126,2018-11-22,4.84,25
127,2018-11-23,3.37,25
128,2018-11-24,3.21,25
129,2018-11-25,5.88,25
130,2018-11-26,8.32,25
131,2018-11-27,7.92,25
132,2018-11-28,6.29,25
133,2018-11-29,5.75,25
134,2018-11-30,7.01,24
135,2018-12-01,8.76,25
136,2018-12-02,9.12,25
137,2018-12-03,8.96,25
138,2018-12-04,8.84,25
139,2018-12-05,8.95,25
140,2018-12-06,8.27,25
141,2018-12-07,8.03,24
142,2018-12-08,8.04,24
143,2018-12-09,5.79,25
144,2018-12-10,3.68,25
145,2018-12-11,1.88,25
146,2018-12-12,-1.11,25
147,2018-12-13,-2.68,25
148,2018-12-14,-3.91,25
149,2018-12-15,-5.62,25
150,2018-12-16,-4.58,25
151,2018-12-17,-1.76,25
152,2018-12-18,-2.26,25
153,2018-12-19,-3.29,25
154,2018-12-20,-5.63,25
155,2018-12-21,-4.21,25
156,2018-12-22,-1.41,25
157,2018-12-23,-2.7,25
158,2018-12-24,-5.05,25
159,2018-12-25,-1.57,24
160,2018-12-26,0.18,24
161,2018-12-27,3.2,24
162,2018-12-28,2.53,24
163,2018-12-29,-0.34,24
164,2018-12-30,3.79,24
165,2018-12-31,9.04,24
166,2019-01-01,9.42,24
167,2019-01-02,8.32,24
168,2019-01-03,3.41,24
169,2019-01-04,-3.89,23
170,2019-01-05,-5.93,23
171,2019-01-06,-7.85,24
172,2019-01-07,-8.09,24
173,2019-01-08,-7.15,24
174,2019-01-09,-7.44,24
175,2019-01-10,-8.76,24
176,2019-01-11,-8.9,24
177,2019-01-12,-7.32,25
178,2019-01-13,2.54,25
179,2019-01-14,6.5,25
180,2019-01-15,6.32,24
181,2019-01-16,5.14,24
182,2019-01-17,4.71,25
183,2019-01-18,2.39,24
184,2019-01-19,0.94,24
185,2019-01-20,-1.95,24
186,2019-01-21,-0.82,24
187,2019-01-22,4.36,23
188,2019-01-23,7.78,24
189,2019-01-24,8.89,24
190,2019-01-25,9.39,24
191,2019-01-26,9.1,24
192,2019-01-27,9.3,24
193,2019-01-28,9.47,24
194,2019-01-29,8.62,24
195,2019-01-30,7.03,24
196,2019-01-31,1.04,24
197,2019-02-01,-1.47,24
198,2019-02-02,-0.04,24
199,2019-02-03,5.9,24
200,2019-02-04,6.95,25
201,2019-02-05,6.95,25
202,2019-02-06,7.37,25
203,2019-02-07,8.93,25
204,2019-02-08,9.13,25
205,2019-02-09,8.54,25
206,2019-02-10,8.45,25
207,2019-02-11,7.84,24
208,2019-02-12,7.89,25
209,2019-02-13,2.01,25
210,2019-02-14,-2.84,25
211,2019-02-15,-3.78,25
212,2019-02-16,1.03,25
213,2019-02-17,7.63,25
214,2019-02-18,8.13,25
215,2019-02-19,5.69,25
216,2019-02-20,2.92,25
217,2019-02-21,4.16,25
218,2019-02-22,1.8,25
219,2019-02-23,6.0,25
220,2019-02-24,7.59,25
221,2019-02-25,7.55,25
222,2019-02-26,7.04,24
223,2019-02-27,6.96,25
224,2019-02-28,7.47,25
225,2019-03-01,6.16,25
226,2019-03-02,6.42,25
227,2019-03-03,7.48,25
228,2019-03-04,7.17,25
229,2019-03-05,7.87,25
230,2019-03-06,8.67,25
231,2019-03-07,8.64,25
232,2019-03-08,9.34,25
233,2019-03-09,9.55,25
